A, B, C, D, E, a, b
68.3349, 80, 200, 23.3315, 168.3336, 73.2190, 60
71.5647, 90, 180, 36.8694, 161.5659, 75.8945, 60
71.8632, 91, 178, 38.2743, 160.8625, 76.0137, 60
72.1566, 92, 176, 39.6861, 160.1573, 76.1054, 60
72.4463, 93, 174, 41.1060, 159.4476, 76.1702, 60
72.7326, 94, 172, 42.5343, 158.7332, 76.2083, 60
73.0146, 95, 170, 43.9693, 158.0160, 76.2191, 60
73.2937, 96, 168, 45.4127, 157.2936, 76.2035, 60
73.5691, 97, 166, 46.8626, 156.5681, 76.1610, 60
73.8400, 98, 164, 48.3186, 155.8415, 76.0912, 60
74.1086, 99, 162, 49.7825, 155.1089, 75.9953, 60
74.3742, 100, 160, 51.2533, 154.3725, 75.8730, 60
74.6360, 101, 158, 52.7296, 153.6344, 75.7238, 60
74.8942, 102, 156, 54.2113, 152.8945, 75.5479, 60
75.1500, 103, 154, 55.7000, 152.1500, 75.3461, 60
75.4026, 104, 152, 57.1941, 151.4033, 75.1179, 60
75.6531, 105, 150, 58.6951, 150.6517, 74.8643, 60
75.8999, 106, 148, 60.2003, 149.8998, 74.5841, 60
76.1441, 107, 146, 61.7109, 149.1450, 74.2780, 60
76.3857, 108, 144, 63.2270, 148.3873, 73.9465, 60
76.6251, 109, 142, 64.7486, 147.6263, 73.5897, 60
76.8623, 110, 140, 66.2757, 146.8620, 73.2079, 60
77.0966, 111, 138, 67.8069, 146.0965, 72.8005, 60
77.3281, 112, 136, 69.3423, 145.3296, 72.3677, 60
77.5579, 113, 134, 70.8831, 144.5589, 71.9107, 60
77.7853, 114, 132, 72.4281, 143.7867, 71.4289, 60
78.0112, 115, 130, 73.9785, 143.0103, 70.9234, 60
78.2340, 116, 128, 75.5317, 142.2343, 70.3927, 60
78.4548, 117, 126, 77.0890, 141.4562, 69.8380, 60
78.6745, 118, 124, 78.6518, 140.6737, 69.2605, 60
78.8915, 119, 122, 80.2174, 139.8912, 68.6587, 60
79.1068, 120, 120, 81.7870, 139.1062, 68.0338, 60
79.3196, 121, 118, 83.3595, 138.3210, 67.3851, 60
79.5318, 122, 116, 84.9374, 137.5308, 66.7149, 60
79.7409, 123, 114, 86.5166, 136.7424, 66.0206, 60
79.9497, 124, 112, 88.1014, 135.9489, 65.3055, 60
80.1555, 125, 110, 89.6876, 135.1569, 64.5669, 60
80.3604, 126, 108, 91.2778, 134.3618, 63.8071, 60
80.5642, 127, 106, 92.8722, 133.5635, 63.0266, 60
80.7655, 128, 104, 94.4680, 132.7665, 62.2236, 60
80.9660, 129, 102, 96.0679, 131.9661, 61.4005, 60
81.1651, 130, 100, 97.6705, 131.1644, 60.5566, 60
81.3629, 131, 98, 99.2759, 130.3615, 59.6924, 60
81.5580, 132, 96, 100.8826, 129.5594, 58.8070, 60
81.7530, 133, 94, 102.4935, 128.7535, 57.9031, 60
81.9468, 134, 92, 104.1071, 127.9461, 56.9799, 60
82.1386, 135, 90, 105.7221, 127.1392, 56.0367, 60
82.3295, 136, 88, 107.3399, 126.3306, 55.0750, 60
82.5194, 137, 86, 108.9603, 125.5202, 54.0952, 60
82.7086, 138, 84, 110.5836, 124.7079, 53.0978, 60
82.8960, 139, 82, 112.2082, 123.8958, 52.0819, 60
83.0828, 140, 80, 113.8355, 123.0817, 51.0491, 60
83.2681, 141, 78, 115.4642, 122.2676, 49.9987, 60
83.4529, 142, 76, 117.0957, 121.4514, 48.9323, 60
83.6364, 143, 74, 118.7286, 120.6351, 47.8490, 60
83.8186, 144, 72, 120.3628, 119.8187, 46.7494, 60
84.0004, 145, 70, 121.9997, 118.9998, 45.6350, 60
84.1812, 146, 68, 123.6381, 118.1807, 44.5051, 60
84.3609, 147, 66, 125.2778, 117.3613, 43.3601, 60
84.5405, 148, 64, 126.9202, 116.5393, 42.2017, 60
84.7183, 149, 62, 128.5627, 115.7190, 41.0278, 60
84.8961, 150, 60, 130.2079, 114.8960, 39.8415, 60
88.3298, 170, 20, 163.3413, 98.3289, 13.8864, 60
